Event,Latitude (Decimal deg),Longitude (Decimal deg),Station,Depth (m),Label,Source,YOUR DATA mean (units),YOUR DATA sd (units),Comments,,
1023,48.651,233,P4,65,576,Niskin,,,,,
1023,48.651,233,P4,65,577,Niskin,,,,,
1023,48.651,233,P4,65,578,Niskin,,,,,
1023,48.651,233,P4,65,579,Niskin,,,,,
1023,48.651,233,P4,20,580,Niskin,,,,,
1023,48.651,233,P4,20,581,Niskin,,,,,
1023,48.651,233,P4,20,582,Niskin,,,,,
1023,48.651,233,P4,5,583,Niskin,,,,,
1023,48.651,233,P4,5,584,Niskin,,,,,
1023,48.651,233,P4,5,585,Niskin,,,,,
1023,48.651,233,P4,5,586,Niskin,,,,,
1024,48.651,233,P4,45,587,Niskin,,,,,
1024,48.651,233,P4,45,588,Niskin,,,,,
1024,48.651,233,P4,45,589,Niskin,,,,,
1024,48.651,233,P4,45,590,Niskin,,,,,
1024,48.651,233,P4,45,591,Niskin,,,,,
1024,48.651,233,P4,45,592,Niskin,,,,,
1024,48.651,233,P4,45,593,Niskin,,,,,
1024,48.651,233,P4,45,594,Niskin,,,,,
1024,48.651,233,P4,45,595,Niskin,,,,,
1024,48.651,233,P4,45,596,Niskin,,,,,
1024,48.651,233,P4,45,597,Niskin,,,,,
1024,48.651,233,P4,45,598,Niskin,,,,,
1024,48.651,233,P4,45,599,Niskin,,,,,
1024,48.651,233,P4,45,600,Niskin,,,,,
1024,48.651,233,P4,45,601,Niskin,,,,,
1024,48.651,233,P4,45,602,Niskin,,,,,
1024,48.651,233,P4,45,603,Niskin,,,,,
1024,48.651,233,P4,45,604,Niskin,,,,,
1024,48.651,233,P4,45,605,Niskin,,,,,
1024,48.651,233,P4,45,606,Niskin,,,,,
1024,48.651,233,P4,45,607,Niskin,,,,,
1024,48.651,233,P4,45,608,Niskin,,,,,
1024,48.651,233,P4,30,609,Niskin,,,,,
1024,48.651,233,P4,30,610,Niskin,,,,,
1027,48.625,233.667,P3,750,611,Niskin,,,,,
1027,48.625,233.667,P3,500,612,Niskin,,,,,
1027,48.625,233.667,P3,300,613,Niskin,,,,,
1027,48.625,233.667,P3,300,614,Niskin,,,,,
